"Name","Type","Id","Native"
"ArcGIS PaaS","connector","/providers/Microsoft.PowerApps/apis/shared_arcgispaas","False"
"Azure Resource Manager","connector","/providers/Microsoft.PowerApps/apis/shared_arm","True"
"Asana","connector","/providers/Microsoft.PowerApps/apis/shared_asana","False"
"Asite","connector","/providers/Microsoft.PowerApps/apis/shared_asite","False"
"Asite (KSA)","connector","/providers/Microsoft.PowerApps/apis/shared_asiteksa","False"
"Asite (UAE)","connector","/providers/Microsoft.PowerApps/apis/shared_asiteuae","False"
"Asite (US Gov.)","connector","/providers/Microsoft.PowerApps/apis/shared_asiteusgov","False"
"Assently E-Sign","connector","/providers/Microsoft.PowerApps/apis/shared_assentlyesign","False"
"Dynamics 365 Sales Insights","connector","/providers/Microsoft.PowerApps/apis/shared_assistantstudio","True"
"Autodesk Forge Data Exchange","connector","/providers/Microsoft.PowerApps/apis/shared_autodeskforgedataexc","False"
"AvePoint Cloud Governance","connector","/providers/Microsoft.PowerApps/apis/shared_avepointcloudgovernance","False"
"Aviationstack (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_aviationstackip","False"
"AWeber","connector","/providers/Microsoft.PowerApps/apis/shared_aweber","False"
"AXtension Content Gate","connector","/providers/Microsoft.PowerApps/apis/shared_axtensioncontentgate","False"
"Azure AD","connector","/providers/Microsoft.PowerApps/apis/shared_azuread","True"
"Azure AD App Registrations","connector","/providers/Microsoft.PowerApps/apis/shared_azureadapplications","True"
"Azure AD Identity Protection","connector","/providers/Microsoft.PowerApps/apis/shared_azureadip","True"
"Azure App Service","connector","/providers/Microsoft.PowerApps/apis/shared_azureappservice","True"
"Azure Automation","connector","/providers/Microsoft.PowerApps/apis/shared_azureautomation","True"
"Azure Blob Storage","connector","/providers/Microsoft.PowerApps/apis/shared_azureblob","True"
"Azure Communication Services SMS","connector","/providers/Microsoft.PowerApps/apis/shared_azurecommunicationservicessms","True"
"Azure Data Factory","connector","/providers/Microsoft.PowerApps/apis/shared_azuredatafactory","True"
"Azure Data Lake","connector","/providers/Microsoft.PowerApps/apis/shared_azuredatalake","True"
"Azure Digital Twins","connector","/providers/Microsoft.PowerApps/apis/shared_azuredigitaltwins","True"
"Azure Event Grid","connector","/providers/Microsoft.PowerApps/apis/shared_azureeventgrid","True"
"Azure Event Grid Publish","connector","/providers/Microsoft.PowerApps/apis/shared_azureeventgridpublish","True"
"Azure File Storage","connector","/providers/Microsoft.PowerApps/apis/shared_azurefile","True"
"Azure IoT Central V3","connector","/providers/Microsoft.PowerApps/apis/shared_azureiotcentral","True"
